"","id","partner","type_trial","promise","dec_partner","prom_keys","prom_keys_rt","decision","decision_rt","prom_percent","decision_gain","response"
"237","10","Computer","Not apply","Promise","Trust",NA,NA,"Not to pay back",1.80355787277,NA,10,0
"238","10","Friend","No Promise","No promise","Trust",NA,NA,"Pay back",1.52032899857,NA,5,1
"239","10","Confederate","Not apply","No promise","No trust",NA,NA,NA,NA,NA,NA,NA
"240","10","Confederate","Not apply","No promise","Trust",NA,NA,"Not to pay back",1.47029304504,NA,10,0
"241","11","Confederate","Promise","Promise","Trust","Mostly",3.28606509895,"Pay back",7.85592988553,66.66,5,1
"242","11","Computer","Not apply","Promise","Trust",NA,NA,"Not to pay back",8.32303100964,NA,10,0
"243","11","Friend","Not apply","Promise","Trust",NA,NA,"Pay back",3.30259501236,NA,5,1
"244","11","Computer","No Promise","No promise","Trust",NA,NA,"Not to pay back",4.78522294812,NA,10,0
"245","11","Computer","Not apply","No promise","Trust",NA,NA,"Not to pay back",5.12053938711,NA,10,0
"246","11","Friend","Not apply","No promise","Trust",NA,NA,"Pay back",3.20249088923,NA,5,1
"247","11","Friend","Promise","Promise","Trust","No response",NA,"Pay back",3.60266467219,0,5,1
"248","11","Confederate","Not apply","Promise","No trust",NA,NA,NA,NA,NA,NA,NA
"249","11","Computer","Not apply","Promise","Trust",NA,NA,"Not to pay back",3.16892547865,NA,10,0
"250","11","Friend","Promise","Promise","Trust","Mostly",2.8028017921,"Pay back",3.20259721216,66.66,5,1
"251","11","Friend","Not apply","Promise","No trust",NA,NA,NA,NA,NA,NA,NA
"252","11","Confederate","Not apply","Promise","Trust",NA,NA,"Pay back",2.80238676607,NA,5,1
"253","11","Computer","No Promise","No promise","No trust",NA,NA,NA,NA,NA,NA,NA
"254","11","Friend","Not apply","No promise","Trust",NA,NA,"Pay back",3.65300637204,NA,5,1
"255","11","Computer","Not apply","No promise","Trust",NA,NA,"Not to pay back",2.91893354454,NA,10,0
"256","11","Confederate","No Promise","No promise","Trust",NA,NA,"Pay back",2.16896874108,NA,5,1
"257","11","Friend","Not apply","No promise","No trust",NA,NA,NA,NA,NA,NA,NA
"258","11","Confederate","Not apply","No promise","Trust",NA,NA,"Pay back",3.98624254821,NA,5,1
"259","11","Computer","Promise","Promise","No trust","Always",2.96946845873,NA,NA,100,NA,NA
"260","11","Confederate","Not apply","Promise","Trust",NA,NA,"Pay back",3.99984564848,NA,5,1
"261","11","Computer","Not apply","Promise","Trust",NA,NA,"Not to pay back",3.41969027033,NA,10,0
"262","11","Friend","No Promise","No promise","Trust",NA,NA,"Pay back",2.30193214398,NA,5,1
"263","11","Confederate","Not apply","No promise","No trust",NA,NA,NA,NA,NA,NA,NA
"264","11","Confederate","Not apply","No promise","Trust",NA,NA,"Pay back",3.28599727224,NA,5,1
"265","12","Confederate","Promise","Promise","Trust","Sometimes",5.88761411374,NA,NA,33.33,NA,NA
"266","12","Computer","Not apply","Promise","Trust",NA,NA,"Not to pay back",4.26988091832,NA,10,0
"267","12","Friend","Not apply","Promise","Trust",NA,NA,"Pay back",4.186553451,NA,5,1
"268","12","Computer","No Promise","No promise","Trust",NA,NA,"Not to pay back",3.93409115914,NA,10,0
"269","12","Computer","Not apply","No promise","Trust",NA,NA,"Pay back",3.80285971984,NA,5,1
"270","12","Friend","Not apply","No promise","Trust",NA,NA,"Not to pay back",3.80320068635,NA,10,0
